C:\Simcenter\Testxpress\ProjectData\BMW_GS_Test_260907\Data\Down_128.xdf,07.09.26,13:55:01,,,
,M4: Comp_Name_plate_x : SORD(C1,R1) Time[s],M4: Comp_Name_plate_x : SORD(C1,R1) [g],M5: Comp_Name_plate_x : LEVEL(C1) Time[s],M5: Comp_Name_plate_x : LEVEL(C1) [g],M6: Comp_Name_plate_y : SORD(C2,R1) Time[s],M6: Comp_Name_plate_y : SORD(C2,R1) [g],M7: Comp_Name_plate_y : LEVEL(C2) Time[s],M7: Comp_Name_plate_y : LEVEL(C2) [g],M8: Comp_Name_plate_z : SORD(C3,R1) Time[s],M8: Comp_Name_plate_z : SORD(C3,R1) [g],M9: Comp_Name_plate_z : LEVEL(C3) Time[s],M9: Comp_Name_plate_z : LEVEL(C3) [g],M10: LEVEL(R1) Time[s],M10: LEVEL(R1) [rpm]
Unit,s,g,s,g,s,g,s,g,s,g,s,g,s,rpm
Sensor,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,Tacho1
PointDir,,'',,'',,'',,'',,'',,'',,''
Info1,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,
,0.000000000,0.000000000,0.000000000,0.004858287,0.000000000,0.000000000,0.000000000,0.003412606,0.000000000,0.000000000,0.000000000,0.004497355,0.000000000,0.000000000
,0.015625000,0.000000000,0.015625000,0.004751118,0.015625000,0.000000000,0.015625000,0.003440907,0.015625000,0.000000000,0.015625000,0.004407916,0.015625000,0.000000000
,0.031250000,0.000000000,0.031250000,0.004722102,0.031250000,0.000000000,0.031250000,0.003453257,0.031250000,0.000000000,0.031250000,0.004355280,0.031250000,0.000000000
,0.046875000,0.000000000,0.046875000,0.004814463,0.046875000,0.000000000,0.046875000,0.003462546,0.046875000,0.000000000,0.046875000,0.004231768,0.046875000,0.000000000
,0.062500000,0.000000000,0.062500000,0.004774180,0.062500000,0.000000000,0.062500000,0.003449315,0.062500000,0.000000000,0.062500000,0.004089523,0.062500000,0.000000000
,0.078125000,0.000000000,0.078125000,0.004776706,0.078125000,0.000000000,0.078125000,0.003407434,0.078125000,0.000000000,0.078125000,0.003954182,0.078125000,0.000000000
