C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,-0.0386649,0,0,-0.0181038,0,0,-0.0219911,0,0,-0.0942321,0,0,-0.0826973,0,0,-0.0537032,0
,1.5625,0.0312547,-0.0064143,1.5625,0.0138092,0.0054148,1.5625,0.0176618,0.0031366,1.5625,0.0902543,0.0457547,1.5625,0.0582982,0.0058601,1.5625,0.050219,0.0342837
,3.125,-0.0079381,0.0029727,3.125,0.0033067,-0.0079254,3.125,0.0020906,0.0029144,3.125,-0.0223697,-0.0335676,3.125,-0.0053938,0.0361757,3.125,-0.0029835,-0.0289441
,4.6875,-0.0055102,-0.0003932,4.6875,-0.0024651,-0.0036736,4.6875,0.0000276,0.0023481,4.6875,0.0158833,-0.012211,4.6875,-0.0020205,-0.0224761,4.6875,0.0152871,0.0135584
,6.25,0.00288,-0.0003251,6.25,-0.0019141,0.0023835,6.25,0.0006884,-0.0020955,6.25,-0.0017764,0.0169909,6.25,0.0034403,0.0154358,6.25,-0.0100294,-0.0146727
,7.8125,0.002811,0.0027404,7.8125,-0.0023382,-0.0010201,7.8125,0.0003299,0.0037124,7.8125,-0.0097952,0.0118944,7.8125,-0.0037991,-0.0121637,7.8125,-0.011546,-0.0028079
,9.375,0.0019473,0.0046006,9.375,-0.0003368,-0.0041248,9.375,-0.0005844,0.0059129,9.375,-0.0116492,0.0045686,9.375,0.003483,0.0105088,9.375,0.0062089,-0.0080091
,10.9375,0.0066071,0.0029751,10.9375,-0.0038,-0.0088163,10.9375,-0.0035943,-0.0065643,10.9375,0.0091251,-0.0042341,10.9375,-0.0044462,-0.0079405,10.9375,-0.008775,-0.0057833
,12.5,0.0083323,0.0062984,12.5,-0.0049088,-0.0085556,12.5,-0.0041572,0.0101378,12.5,0.0032594,0.0077844,12.5,0.006798,0.0082085,12.5,-0.007141,0.0033695
,14.0625,-0.0086784,-0.0103614,14.0625,0.003509,0.0126661,14.0625,-0.0154102,0.0128113,14.0625,-0.0089383,-0.0011524,14.0625,-0.0076709,-0.0126247,14.0625,-0.0088402,-0.0014338
,15.625,-0.0190797,-0.0048925,15.625,0.0142836,0.0019017,15.625,0.02801,-0.0134442,15.625,0.016857,0.0105317,15.625,0.0053978,0.0102048,15.625,-0.0004436,-0.0224806
,17.1875,-0.0116447,-0.0242162,17.1875,0.0070388,-0.01556,17.1875,-0.0413493,0.0011885,17.1875,-0.0212088,-0.0198332,17.1875,-0.0053003,0.0134092,17.1875,-0.0139535,-0.0332662
