C:\Simcenter\Testxpress\ProjectData\Gamma_TBPF_250612\Data\100_44500.xdf,13.06.25,10:45:11,,,
,M1: Mic_near_1m : FFT(C1) Frequency[Hz],M1: Mic_near_1m : FFT(C1) [Pa](A),,M2: Acc_Comp_plate_x : FFT(C2) Frequency[Hz],M2: Acc_Comp_plate_x : FFT(C2) [g],,M3: Acc_Comp_plate_y : FFT(C3) Frequency[Hz],M3: Acc_Comp_plate_y : FFT(C3) [g],,M4: Acc_Comp_plate_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_plate_z : FFT(C4) [g],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,
PointId,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,
Info2,,,,,,,,,,,,
Info3,,,,,,,,,,,,
Info4,,,,,,,,,,,,
Z Axis,,,,,,,,
,0.0000000,0.0000000,0.0000000,0.0000000,-0.0022487,0.0000000,0.0000000,-0.0005979,0.0000000,0.0000000,0.0031720,0.0000000
,12.5000000,-0.0001175,-0.0000367,12.5000000,0.0013212,0.0002919,12.5000000,0.0003654,-0.0005223,12.5000000,-0.0027863,-0.0013696
,25.0000000,-0.0001717,0.0000889,25.0000000,0.0004926,-0.0000017,25.0000000,-0.0001237,0.0004944,25.0000000,0.0011211,0.0023412
,37.5000000,0.0007299,-0.0001359,37.5000000,0.0003361,-0.0005093,37.5000000,0.0002212,-0.0003029,37.5000000,0.0010371,-0.0007267
,50.0000000,-0.0009085,0.0004534,50.0000000,-0.0021558,0.0009246,50.0000000,0.0000330,0.0003929,50.0000000,-0.0046849,-0.0007370
,62.5000000,0.0005436,-0.0002999,62.5000000,0.0024041,-0.0003920,62.5000000,0.0000841,-0.0001875,62.5000000,0.0033592,0.0004632
,75.0000000,-0.0002665,0.0000147,75.0000000,0.0008051,-0.0010301,75.0000000,0.0002127,-0.0010222,75.0000000,0.0012301,-0.0002810
,87.5000000,0.0004468,0.0001248,87.5000000,-0.0036236,0.0030510,87.5000000,-0.0017689,0.0023532,87.5000000,-0.0028961,0.0009322
,100.0000000,-0.0000263,-0.0003176,100.0000000,0.0025721,-0.0039524,100.0000000,0.0021250,-0.0006118,100.0000000,0.0026066,-0.0027587
,112.5000000,0.0000639,0.0007819,112.5000000,-0.0020740,0.0022762,112.5000000,0.0002968,-0.0015009,112.5000000,-0.0045907,0.0027591
,125.0000000,-0.0002679,-0.0003367,125.0000000,0.0020169,0.0020491,125.0000000,-0.0011269,0.0005985,125.0000000,0.0043265,0.0008699
,137.5000000,0.0000850,-0.0004254,137.5000000,-0.0013582,-0.0026379,137.5000000,0.0000337,0.0002087,137.5000000,-0.0006219,-0.0017895
,150.0000000,-0.0001956,0.0005812,150.0000000,0.0040116,0.0007931,150.0000000,0.0040973,-0.0041702,150.0000000,-0.0029228,0.0025111
,162.5000000,-0.0013299,-0.0016441,162.5000000,0.0048950,0.0124024,162.5000000,0.0276174,-0.0330495,162.5000000,-0.0227521,0.0251227
